disk,busy,qtime,stime
ssd,101,0.2,0.0
ssd,100,0.2,0.0
ssd,99,0.2,0.0
ssd,100,0.2,0.0
ssd,98,0.2,0.0
ssd,98,0.2,0.0
ssd,99,0.2,0.1
ssd,99,0.2,0.1
ssd,98,0.2,0.1
ssd,97,0.2,0.1
ssd,98,0.2,0.1
ssd,98,0.2,0.1
ssd,97,0.2,0.1
ssd,97,0.2,0.1
ssd,97,0.2,0.1
ssd,98,0.2,0.1
ssd,95,0.2,0.1
ssd,96,0.2,0.1
ssd,96,0.2,0.1
ssd,96,0.2,0.1
ssd,93,0.2,0.1
ssd,94,0.1,0.1
ssd,93,0.2,0.1
ssd,89,0.1,0.1
ssd,93,0.3,0.1
ssd,88,0.2,0.1
ssd,93,0.3,0.1
ssd,94,0.5,0.1
ssd,87,0.1,0.1
ssd,91,0.2,0.1
ssd,88,0.3,0.1
ssd,91,0.2,0.1
ssd,89,0.4,0.1
ssd,88,0.2,0.1
ssd,84,0.3,0.1
ssd,85,0.5,0.1
ssd,86,0.2,0.1
ssd,85,0.1,0.1
ssd,84,0.6,0.1
ssd,84,0.2,0.1
ssd,80,0.3,0.1
ssd,79,0.1,0.1
ssd,80,0.3,0.1
ssd,84,0.5,0.1
ssd,74,0.1,0.1
ssd,80,0.2,0.1
ssd,74,0.3,0.1
ssd,80,0.1,0.1
ssd,79,0.3,0.1
ssd,74,0.2,0.1
ssd,76,0.2,0.1
ssd,78,0.2,0.1
ssd,74,0.6,0.1
ssd,74,0.2,0.1
ssd,71,0.1,0.1
ssd,69,0.3,0.1
ssd,76,0.2,0.1
ssd,73,0.5,0.1
ssd,72,0.1,0.1
ssd,62,0.3,0.1
ssd,72,0.1,0.1
ssd,63,0.4,0.1
ssd,70,0.1,0.1
ssd,72,0.4,0.1
ssd,74,0.3,0.1
ssd,66,0.3,0.1
ssd,62,0.3,0.1
ssd,67,0.1,0.1
ssd,68,0.3,0.1
ssd,65,0.4,0.1
ssd,66,0.3,0.1
ssd,65,0.4,0.1
ssd,62,0.1,0.1
ssd,60,0.0,0.1
ssd,63,0.5,0.1
ssd,64,0.2,0.1
ssd,54,0.0,0.1
ssd,60,0.1,0.1
ssd,60,0.6,0.1
ssd,59,0.2,0.1
ssd,56,0.2,0.1
ssd,59,0.1,0.1
ssd,57,0.3,0.1
ssd,55,0.2,0.1
ssd,60,0.5,0.1
ssd,58,0.4,0.1
ssd,56,0.0,0.1
ssd,58,0.2,0.1
ssd,62,0.4,0.1
ssd,59,0.1,0.1
ssd,58,0.5,0.1
ssd,57,0.1,0.1
ssd,52,0.5,0.1
ssd,54,0.0,0.1
ssd,61,0.5,0.1
ssd,54,0.4,0.1
ssd,58,0.1,0.1
ssd,55,0.1,0.1
ssd,55,0.3,0.1
ssd,55,0.1,0.1
ssd,55,0.5,0.1
ssd,61,0.0,0.1
ssd,55,0.3,0.1
ssd,56,0.3,0.1
ssd,50,0.5,0.1
ssd,52,0.1,0.1
ssd,58,0.7,0.1
ssd,51,0.1,0.1
ssd,49,0.0,0.1
ssd,54,0.0,0.1
ssd,59,0.4,0.1
ssd,59,0.3,0.1
ssd,54,0.4,0.1
ssd,56,0.4,0.1
ssd,56,0.3,0.1
ssd,56,0.2,0.1
ssd,48,0.0,0.1
ssd,51,0.2,0.1
ssd,52,0.5,0.1
ssd,46,0.0,0.1
ssd,48,0.0,0.1
ssd,50,0.5,0.1
ssd,50,0.1,0.1
ssd,53,0.3,0.1
ssd,49,0.2,0.1
ssd,51,0.3,0.1
ssd,57,0.5,0.1
ssd,46,0.1,0.1
ssd,49,0.0,0.1
ssd,54,0.3,0.1
ssd,47,0.0,0.1
ssd,50,0.4,0.1
ssd,54,0.6,0.1
ssd,59,0.2,0.1
ssd,54,0.4,0.1
ssd,52,0.5,0.1
ssd,45,0.0,0.1
ssd,48,0.3,0.1
ssd,54,0.5,0.1
ssd,46,0.1,0.1
ssd,52,0.3,0.1
ssd,51,0.0,0.1
ssd,48,0.4,0.1
ssd,50,0.4,0.1
ssd,46,0.0,0.1
ssd,48,0.4,0.1
ssd,48,0.4,0.1
ssd,42,0.1,0.1
ssd,49,0.2,0.1
ssd,53,0.5,0.1
ssd,51,0.3,0.1
ssd,48,0.1,0.1
ssd,52,0.2,0.1
ssd,53,0.4,0.1
ssd,43,0.0,0.1
ssd,54,0.4,0.1
ssd,48,0.3,0.1
ssd,56,0.4,0.1
ssd,45,0.0,0.1
ssd,50,0.6,0.1
ssd,51,0.2,0.1
ssd,47,0.0,0.1
ssd,56,0.6,0.1
ssd,44,0.3,0.1
ssd,40,0.1,0.1
ssd,48,0.2,0.1
ssd,49,0.3,0.1
ssd,48,0.0,0.1
ssd,57,0.3,0.1
ssd,51,0.4,0.1
ssd,52,0.2,0.1
ssd,47,0.3,0.1
ssd,49,0.4,0.1
ssd,49,0.0,0.1
ssd,56,0.4,0.1
ssd,50,0.6,0.1
ssd,46,0.0,0.1
ssd,47,0.1,0.1
ssd,55,0.1,0.1
ssd,47,0.2,0.1
ssd,50,0.3,0.1
ssd,44,0.1,0.1
ssd,46,0.2,0.1
ssd,58,0.3,0.1
ssd,44,0.4,0.1
ssd,54,0.5,0.1
ssd,52,0.5,0.1
ssd,40,0.1,0.1
ssd,53,0.0,0.1
ssd,49,0.3,0.1
ssd,46,0.2,0.1
ssd,47,0.3,0.1
ssd,53,0.4,0.1
ssd,49,0.0,0.1
ssd,52,0.5,0.1
ssd,53,0.2,0.1
ssd,55,0.6,0.1
ssd,44,0.2,0.1
ssd,45,0.0,0.1
ssd,48,0.2,0.1
ssd,48,0.4,0.1
ssd,55,0.3,0.1
ssd,46,0.1,0.1
ssd,46,0.5,0.1
ssd,48,0.0,0.1
ssd,47,0.2,0.1
ssd,54,0.5,0.1
ssd,50,0.1,0.1
ssd,50,0.3,0.1
ssd,48,0.3,0.1
ssd,52,0.4,0.1
ssd,53,0.6,0.1
ssd,53,0.3,0.1
ssd,45,0.3,0.1
ssd,42,0.0,0.1
ssd,47,0.1,0.1
ssd,50,0.3,0.1
ssd,47,0.4,0.1
ssd,53,0.5,0.1
ssd,44,0.0,0.1
ssd,54,0.4,0.1
ssd,50,0.4,0.1
ssd,49,0.1,0.1
ssd,52,0.2,0.1
ssd,46,0.0,0.1
ssd,46,0.3,0.1
ssd,54,0.6,0.1
ssd,49,0.1,0.1
ssd,44,0.3,0.1
ssd,47,0.3,0.1
ssd,46,0.4,0.1
ssd,45,0.1,0.1
ssd,41,0.3,0.1
ssd,48,0.0,0.1
ssd,44,0.0,0.1
ssd,47,0.0,0.1
ssd,48,0.1,0.1
ssd,42,0.0,0.1
ssd,46,0.0,0.1
ssd,47,0.0,0.1
ssd,42,0.0,0.1
ssd,47,0.0,0.1
ssd,44,0.0,0.1
ssd,45,0.0,0.1
ssd,44,0.0,0.1
ssd,44,0.0,0.1
ssd,50,0.1,0.1
ssd,43,0.0,0.1
ssd,42,0.0,0.1
ssd,41,0.0,0.1
ssd,42,0.0,0.1
ssd,46,0.0,0.1
ssd,42,0.0,0.1
ssd,52,0.0,0.1
ssd,44,0.0,0.1
ssd,45,0.0,0.1
ssd,41,0.0,0.1
ssd,46,0.0,0.1
ssd,45,0.0,0.1
ssd,40,0.0,0.1
ssd,46,0.0,0.1
ssd,49,0.0,0.1
